frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,sclk,sol
ROVER,114,546,4,-11959.158,-3021.625,-850.729,-283998.426,8143789.598,-4.791225223,-4.847859894,137.390656359,-3650.271,49937.70,11006.39,12485.35,2752.11,-0.210,5.721,179.429,0.004883194,-0.049910787,-0.001585173,0.998740500,795468787,4483
ROVER,114,552,4,-11960.095,-3021.741,-850.831,-283999.363,8143789.482,-4.791241040,-4.847875896,137.390654392,-3650.169,49941.45,11005.93,12486.29,2751.99,0.591,6.229,-166.270,0.119072320,0.054553825,0.001378270,-0.991384740,795468896,4483
ROVER,114,558,4,-11961.050,-3022.103,-850.949,-284000.318,8143789.120,-4.791257140,-4.847892186,137.390648296,-3650.051,49945.27,11004.48,12487.24,2751.63,2.220,8.571,-152.374,0.236639190,0.077161140,-0.000922358,-0.968528400,795468984,4483
ROVER,114,564,4,-11961.862,-3022.660,-851.060,-284001.130,8143788.563,-4.791270841,-4.847906046,137.390638899,-3649.940,49948.52,11002.25,12488.05,2751.07,5.112,8.022,-139.183,0.344582770,0.081009150,-0.017328536,-0.935093500,795469069,4483
ROVER,114,570,4,-11962.510,-3023.389,-851.158,-284001.778,8143787.834,-4.791281770,-4.847917104,137.390626603,-3649.842,49951.11,10999.34,12488.70,2750.34,5.989,4.503,-125.528,0.454850940,0.058773767,-0.028460216,-0.888170200,795469158,4483
ROVER,114,576,4,-11962.991,-3024.347,-851.247,-284002.259,8143786.876,-4.791289893,-4.847925322,137.390610432,-3649.753,49953.04,10995.50,12489.18,2749.38,5.390,3.629,-110.946,0.564654300,0.052697293,-0.020792034,-0.823381000,795469245,4483
ROVER,114,582,4,-11963.226,-3025.333,-851.265,-284002.494,8143785.890,-4.791293850,-4.847929325,137.390593799,-3649.735,49953.97,10991.56,12489.42,2748.40,5.978,0.944,-97.886,0.655571700,0.040448327,-0.033913583,-0.753285800,795469331,4483
ROVER,114,588,4,-11963.224,-3026.411,-851.263,-284002.492,8143784.812,-4.791293815,-4.847929290,137.390575605,-3649.737,49953.97,10987.25,12489.42,2747.32,5.040,0.010,-83.886,0.743085500,0.032759186,-0.029324004,-0.667750600,795469417,4483
ROVER,114,594,4,-11962.950,-3027.469,-851.230,-284002.218,8143783.754,-4.791289191,-4.847924611,137.390557767,-3649.770,49952.87,10983.02,12489.14,2746.26,4.557,-0.770,-69.489,0.821185700,0.028837457,-0.028174428,-0.569235150,795469506,4483
ROVER,114,600,4,-11962.438,-3028.402,-851.183,-284001.706,8143782.821,-4.791280567,-4.847915887,137.390542020,-3649.817,49950.83,10979.28,12488.63,2745.33,5.238,-0.110,-55.079,0.885786700,0.040067660,-0.021979146,-0.461836960,795469593,4483
ROVER,114,606,4,-11961.698,-3029.183,-851.128,-284000.966,8143782.040,-4.791268081,-4.847903255,137.390528853,-3649.872,49947.87,10976.16,12487.89,2744.55,4.413,-3.879,-40.352,0.937854950,0.024455639,-0.045017995,-0.343225030,795469678,4483
ROVER,114,612,4,-11961.379,-3029.423,-851.105,-284000.647,8143781.800,-4.791262688,-4.847897799,137.390524802,-3649.895,49946.59,10975.20,12487.57,2744.31,5.171,-4.593,-34.978,0.952582900,0.030956384,-0.051727176,-0.298247900,795469738,4483
ROVER,114,618,2,-11962.220,-3028.882,-851.186,-284001.488,8143782.341,-4.791276890,-4.847912166,137.390533925,-3649.814,49949.95,10977.36,12488.41,2744.85,5.019,-3.180,-30.087,0.964746200,0.035072096,-0.038130283,-0.258032700,795470160,4483
ROVER,114,624,4,-11962.988,-3028.415,-851.235,-284002.256,8143782.808,-4.791289835,-4.847925263,137.390541799,-3649.765,49953.02,10979.23,12489.18,2745.31,2.968,-3.191,-29.415,0.966717500,0.017969830,-0.033497058,-0.253006700,795470213,4483
ROVER,114,630,4,-11963.758,-3027.965,-851.313,-284003.026,8143783.258,-4.791302829,-4.847938410,137.390549400,-3649.687,49956.10,10981.03,12489.95,2745.77,2.382,-5.308,-29.327,0.966426700,0.008366565,-0.050041657,-0.251883480,795470276,4483
